
 0.10   5.1   5.1   5.1   5.1   5.1   5.1   5.1   5.1   5.1   5.1
 0.20  17.7   9.8   9.8   9.8   5.1   5.1   5.1   5.1   5.1   5.1
 0.30  41.1  34.3  34.2  34.5  34.7  32.9  33.1  33.4  33.6  36.7
 0.40  48.1  42.6  42.7  43.1  42.2  41.2  39.9  38.9  33.6  36.7
 0.50  55.1  57.4  59.4  60.8  62.1  64.2  67.5  68.8  54.2  36.7
 0.60  58.5  66.3  74.2  78.3  64.2  53.4  48.9  52.2  52.2  36.7
 0.70  52.1  61.3  73.4  73.6  65.9  55.9  53.0  52.2  52.2  42.1
 0.80  51.9  61.3  73.4  73.6  65.9  55.9  53.0  52.7  52.2  42.1
 0.90  51.8  61.3  84.8  73.6  93.3  82.5 111.5  55.0  56.2  42.1
 1.00  86.7  60.3  73.2  71.1  89.1 101.0  96.8  45.3  56.7  42.1
 1.10  70.5  55.8  40.8  68.0  81.9 141.3  84.4  56.3  55.8  42.1
 1.20  61.2  55.3  33.3  62.8  99.0 133.4  78.2  62.6  98.9  42.1
 1.30  54.5  56.2  46.0  46.6  93.3 118.3  74.2  78.7  86.6  42.1
 1.40  51.7  64.1  53.1  51.7  93.3 100.1  69.7  79.9  74.2  42.1
 1.50  62.5  51.6  63.5  56.6  71.6  79.6  59.6  67.2  61.0  42.1
 1.60  71.5  51.0  87.1  73.4  98.7  68.6  51.9  55.6  62.0  42.1
 1.70  80.6  50.7  88.0  88.8 107.2  59.4  46.3  49.3  62.7  42.1
 1.80  89.7  50.0  87.7  99.3 101.7  56.6  43.1  51.9  63.8  42.1
 1.90  91.3  50.6  91.8 112.7  77.8  62.1  49.5  66.7  67.4
 2.00 114.7  47.0 118.0 100.9  66.9  52.5  48.6  45.8  71.8
 2.10 132.4  52.8 114.3  99.9  57.3  50.6  52.7  27.8  75.5
 2.20 178.5  48.1  84.9 125.5  56.4  52.2  53.2  32.2  79.8
 2.30 230.3  44.0  67.6  64.6  53.1  52.1  53.5  72.9  84.4
 2.40 114.3  40.5  55.4  58.9  52.2  51.4  53.2  75.8  87.4
 2.50  55.3  45.1  55.9  59.6  52.8  51.3  52.9  89.7 100.9
 2.60  55.6  47.0  64.9  62.2  51.9  51.7  53.2  90.0 112.1
 2.70  52.5  51.4  68.1  63.0  52.5  51.3  52.6  90.6 126.9
 2.80  52.9  56.9  69.3  64.5  52.0  52.9  52.9  79.2  95.6
 2.90  52.5  53.0  70.6  66.7  52.1  52.6  52.7  72.1  80.4
 3.00  52.7  67.8  71.9  68.5  49.9  54.1  53.7  58.7  73.4
 3.10  52.5  50.0  73.8  70.2  41.1  53.8  56.3  14.6  71.5
 3.20  53.1  51.7  75.4  71.3  42.8  53.4  58.5  47.9  74.3
 3.30  53.8  52.3  76.5  72.7  48.9  52.8  61.8  54.8  76.8
 3.40  55.5  52.2  77.9  74.7  48.1  52.8  65.3  61.7  80.0
 3.50  56.5  52.2  78.8  76.5  52.9  52.1  67.0  68.0  83.7
 3.60  58.1  52.2  80.4  78.3  51.2  53.8  69.1  73.5  87.9
 3.70  59.3  52.4  81.3  79.9  53.2  56.7  74.2  77.7  89.1
 3.80  60.3  52.0  82.6  80.9  52.5  58.9  77.4  81.5  89.1
 3.90  62.0  52.8  83.7  82.5  53.2  61.0  80.6  85.4 100.2
 4.00  63.0  52.2  84.9  84.1  53.7  64.4  83.6  89.0 131.9
 4.10  64.2  53.1  86.2  85.2  56.0  66.8  86.4  90.2  98.0
 4.20  65.6  52.2  87.2  86.6  57.7  69.3  88.7 100.8  81.7
 4.30  66.8  53.1  88.7  88.3  60.4  71.2  91.1 108.4  74.9
 4.40  67.6  52.3  89.5  89.3  62.5  74.0  91.1  71.7  72.0
 4.50  68.6  52.6  91.0  90.7  64.3  76.8  85.7  60.6  73.0
 4.60  70.3  52.3  91.2  90.9  67.0  79.0  74.5  55.7  76.1
 4.70  71.3  52.2  91.4  91.0  68.5  81.4  58.6  56.1  79.9
 4.80  72.3  52.5  84.1  72.9  68.7  83.3  58.1  57.0  83.5
 4.90  73.2  52.1  73.2  61.8  61.7  85.6  56.0  59.7  86.8
 5.00  74.3  53.0  55.7  58.3  59.8  87.9  54.3  62.3  88.5
 5.10  75.7  52.2  57.4  56.7  65.1  89.7  55.7  66.8  99.7
 5.20  76.9  53.6  54.3  54.2  75.7  91.2  57.3  70.7  97.8
 5.30  77.8  52.7  52.9  52.7  79.0  91.4  59.5  74.4  93.2
 5.40  78.7  53.3  53.1  53.3  81.6  84.0  63.5  78.0  90.3
 5.50  79.6  52.4  52.3  52.3  83.8  73.2  66.3  81.9  75.3
 5.60  80.7  53.3  53.2  53.4  85.6  57.7  69.1  85.5  69.9
 5.70  81.6  52.5  52.4  54.0  87.1  58.3  71.8  89.4  69.2
 5.80  82.4  53.5  53.3  56.2  89.1  55.1  75.1  90.3  69.5
 5.90  83.4  54.4  54.1  57.5  90.5  53.1  78.5 101.3  71.8
 6.00  84.4  56.6  56.3  60.2  90.8  52.9  81.3 108.8  75.1
 6.10  85.2  57.6  57.4  61.8 101.4  54.1  84.3  71.9  78.8
 6.20  86.1  59.5  59.5  63.0  88.1  55.7  87.0  58.5  83.0
 6.30  87.0  60.7  61.1  65.7  69.8  58.7  89.7  56.5  87.5
 6.40  88.1  61.8  62.3  67.1  56.2  60.8  91.0  55.3  87.8
 6.50  88.9  63.8  64.3  68.6  58.4  63.5  90.9  57.9  96.2
 6.60  89.8  64.8  65.7  70.3  54.2  66.6  91.1  59.4 110.7
 6.70  90.8  65.9  67.2  72.1  53.8  69.1  91.1  63.4 115.0
 6.80  91.7  67.8  68.1  74.1  53.4  71.2  99.3  67.5  82.1
 6.90  91.8  69.0  70.3  75.6  52.5  73.5  83.4  71.0  75.1
 7.00  84.4  70.1  71.8  76.8  53.7  75.5  59.3  74.6  73.2
 7.10  73.4  70.9  73.0  78.4  54.5  78.2  57.4  78.4  73.5
 7.20  54.2  72.4  74.2  79.9  57.2  80.7  56.6  82.2  75.0
 7.30  53.4  74.0  75.5  81.0  59.2  82.9  54.9  85.9  77.9
 7.40  52.6  75.0  76.5  82.3  61.1  85.1  56.7  89.7  81.2
 7.50  52.5  76.3  78.2  80.1  63.7  87.3  58.9  90.3  85.2
 7.60  52.5  77.3  79.9  49.7  65.7  89.2  61.5 101.3  88.8
 7.70  52.4  78.2  81.1  59.7  67.5  90.8  64.4  91.3  88.8
 7.80  52.5  85.8  82.4  68.2  69.8  91.4  68.3  71.9 100.6
 7.90  52.4  86.1  83.7  77.7  72.1  87.5  71.2  56.9 136.8
 8.00  52.6  82.5  84.8  84.5  73.9  73.2  74.0  56.5 129.6
 8.10  52.4  82.4  86.2  88.0  75.6  57.2  77.0  55.9  97.3
 8.20  53.2  83.9  87.1  81.6  77.3  60.6  79.7  57.9  77.0
 8.30  53.8  85.1  88.6  71.6  78.9  54.4  82.3  60.4  68.8
 8.40  55.5  86.2  89.5  56.2  80.5  54.6  85.4  64.3  69.6
 8.50  56.6  87.3  91.0  58.1  82.5  52.6  87.9  67.6  71.5
 8.60  57.7  88.5  91.2  55.4  84.0  53.9  90.9  71.3  74.2
 8.70  59.3  89.4  91.4  53.0  85.5  55.5  90.5  75.1  78.1
 8.80  60.3  90.3  91.7  53.4  87.6  58.2  91.1  79.0  82.0
 8.90  62.0  91.0  91.5  52.4  88.9  60.7  90.6  83.0  86.2
 9.00  63.0  91.2 102.4  53.3  90.8  63.1  90.9  86.5  88.1
 9.10  63.9  91.4  85.1  53.0  91.0  65.9  91.1  90.1 101.1
 9.20  65.5  84.1  58.0  54.9  83.8  68.8  74.3  90.4 117.6
 9.30  66.8  67.4  56.9  56.3  73.0  71.1  62.9 108.9 112.8
 9.40  67.6  55.0  53.9  58.7  57.2  73.5  58.3  91.3  96.4
 9.50  68.7  53.6  53.7  60.4  60.4  75.3  57.3  68.2  72.8
 9.60  70.3  54.2  52.4  62.4  53.8  77.7  55.3  57.4  68.8
 9.70  71.3  52.5  52.4  64.4  52.9  79.5  56.2  55.2  67.9
 9.80  72.3  53.0  52.2  66.0  53.4  81.9  57.7  56.6  69.3
 9.90  73.2  52.4  52.5  67.2  53.2  84.0  61.1  57.6  73.5
10.00  74.0  52.5  53.0  69.6  53.5  86.1  63.6  61.3  77.8
10.10  75.4  52.4  55.1  71.2  54.7  88.2  66.6  64.6  81.8
10.20  76.8  52.6  56.6  72.7  56.0  90.0  69.8  67.9  86.2
10.30  77.8  52.5  58.7  74.3  58.4  90.7  73.3  71.8  88.1
10.40  78.7  54.3  59.9  75.6  60.7  98.5  76.5  76.5  99.9
10.50  79.6  55.4  61.6  76.9  62.3  82.7  79.3  80.3  98.0
10.60  80.6  57.6  63.4  78.6  65.2  58.6  81.9  84.2 116.1
10.70  81.6  58.5  64.8  80.5  67.3  59.0  85.1  88.0 100.9
10.80  82.3  60.4  65.8  82.1  69.0  54.9  87.6  90.4  82.2
