
 0.1   0   0   0   0   0   0   0   0   0   0
 0.2   0   0   0   0   0   0   0   0   0   0
 0.3   0   0   0   0   0   0   0   0   0   0
 0.4   0   0   0   0   0   0   0   0   0   0
 0.5   0   0   0   0   0   6  11  12  23  30
 0.6  84  62  42  38  30  46  59  43  41  34
 0.7 103 105 114  72  48  58  59  43  41  36
 0.8 103 105 119  72  48  58  59  43  41  37
 0.9 103 105 119  72  48  58  59  43  41  37
 1.0 103 105 119  72  48  58  59  43  41  38
 1.1 103 105 119  72  48  58  59  43  41  38
 1.2 103 105 119  72  48  58  59  48  41  39
 1.3 103 105 119  72  48  58  59  55  41  39
 1.4 103 105 119  72  48  58  59  55  41  40
 1.5 103 105 119  72  48  58  59  55  41  40
 1.6 103 105 139  83  48  58  59  55  41  41
 1.7 103 105 141  87  48  58  59  55  41  41
 1.8 109 105 141  87  48  58  59  55  41  42
 1.9 110 105 141  87  48  58  59  55  41
 2.0 110 105 141  87  48  58  59  55  41
 2.1 110 105 141  87  48  58  59  55  41
 2.2 110 105 141  87  48  58  59  55  41
 2.3 110 105 141  87  48  58  59  55  44
 2.4 110 105 141  87  48  58  59  55  46
 2.5 110 105 141  87  48  58  59  57  46
 2.6 110 105 141  87  48  58  59  57  46
 2.7 110 105 141  87  48  58  59  57  46
 2.8 110 105 141  87  48  58  59  57  46
 2.9 110 105 141  87  48  58  59  57  46
 3.0 110 105 141  87  48  58  59  57  46
 3.1 110 105 141  87  48  58  59  57  46
 3.2 110 105 141  87  48  58  59  57  46
 3.3 110 105 141  87  48  58  59  57  46
 3.4 110 105 141  87  48  58  59  57  46
 3.5 110 105 141  87  48  58  59  57  46
 3.6 110 105 141  87  48  58  59  57  49
 3.7 110 105 141  87  48  58  59  57  50
 3.8 110 105 141  87  48  58  59  57  50
 3.9 110 105 141  87  48  58  59  57  50
 4.0 110 105 141  87  48  58  59  59  50
 4.1 110 105 141  87  48  58  59  59  50
 4.2 110 105 141  87  48  58  59  59  50
 4.3 110 105 141  87  48  58  60  59  50
 4.4 110 105 141  87  48  58  60  59  50
 4.5 110 105 141  88  48  58  60  59  50
 4.6 110 105 142  88  48  58  60  59  50
 4.7 110 105 142  88  48  58  60  59  50
 4.8 110 105 142  88  48  58  60  59  50
 4.9 110 105 142  88  48  58  60  59  53
 5.0 110 105 142  88  48  58  60  59  56
 5.1 110 105 142  88  48  58  60  59  56
 5.2 110 105 142  88  48  59  60  59  56
 5.3 110 105 142  88  48  59  60  59  56
 5.4 110 105 142  88  48  59  60  59  56
 5.5 110 105 142  88  48  59  60  59  56
 5.6 110 105 142  88  48  59  60  59  56
 5.7 110 105 142  88  48  59  60  61  56
 5.8 110 105 142  88  48  59  60  61  56
 5.9 110 105 142  88  50  59  60  61  56
 6.0 110 105 142  88  50  59  60  61  56
 6.1 110 105 142  88  50  59  60  61  56
