
0.10 0.0793 0.0793 0.0793 0.0793 0.0793 0.0793 0.0793 0.0793 0.0793 0.0793
0.20 0.2777 0.2777 0.2777 0.2777 0.2777 0.2777 0.2777 0.2777 0.2777 0.2777
0.30 0.3967 0.3967 0.3967 0.3967 0.3967 0.3967 0.3967 0.3967 0.3967 0.3967
0.40 1.2497 1.2497 1.2497 1.2299 1.1902 1.1505 1.1307 1.0712 0.9521 0.6149
0.50 2.2058 2.1423 2.0313 2.0154 1.9360 1.8567 1.7297 1.6028 1.3330 0.9998
0.60 3.2796 3.1077 2.9226 2.7903 2.7110 2.5258 2.2746 2.0101 1.6266 1.2299
0.70 4.0466 3.7973 3.6386 3.4459 3.2645 2.7884 2.4370 1.9496 1.3942 1.0882
0.80 3.7193 3.9574 4.0367 3.3821 2.9358 2.4399 2.1324 1.7555 1.2299 0.9521
0.90 3.3502 3.5265 3.6058 3.0504 2.6360 2.1952 1.9219 1.6574 1.1108 0.8464
1.00 3.1183 3.1976 3.3246 2.8723 2.3962 2.0074 1.7615 1.6583 1.0394 0.7617
1.10 3.0079 2.9502 3.0945 2.6905 2.2361 1.8827 1.6518 1.6879 0.9954 0.6925
1.20 2.9953 2.7771 3.0482 2.6449 2.0960 1.8051 1.5737 1.8448 0.9918 0.6348
1.30 3.1006 2.5940 3.0457 2.5635 2.0020 1.7212 1.5076 1.9653 0.9827 0.5859
1.40 3.4062 2.4881 3.2532 2.6864 1.9213 1.6719 1.4906 1.9383 0.9862 0.5441
1.50 3.7504 2.3592 3.5071 2.8353 1.8408 1.5922 1.4282 1.8408 1.0262 0.5078
1.60 4.0615 2.2861 3.7689 3.0746 1.8200 1.5621 1.4183 1.7555 1.0067 0.4761
1.70 4.3313 2.2030 3.9346 3.3045 1.7736 1.5122 1.3909 1.7409 1.0128 0.4481
1.80 4.5712 2.1644 3.7248 3.2576 1.7632 1.5076 1.4062 1.7500 1.0403 0.4232
1.90 4.7649 2.1256 3.5706 3.1028 1.7122 1.4950 1.3906 1.7748 1.0398
2.00 4.5346 2.0709 3.4436 3.0032 1.7258 1.4877 1.3885 1.8091 1.0434
2.10 4.3565 2.0554 3.3627 2.9018 1.6852 1.4925 1.3942 1.8438 1.0617
2.20 4.1837 2.0053 3.3073 2.8709 1.6987 1.4715 1.3922 1.8646 1.0748
2.30 4.0604 2.0078 3.2946 2.8185 1.6835 1.4938 1.4248 1.8870 1.0867
2.40 3.9408 1.9836 3.2895 2.9060 1.7059 1.4910 1.4282 1.9076 1.0910
2.50 3.9387 1.9773 3.4182 3.0215 1.7234 1.5171 1.4758 1.9297 1.0791
2.60 4.0222 1.9867 3.5461 3.1219 1.7395 1.5442 1.4984 1.9379 1.0437
2.70 4.1701 1.9660 3.6646 3.2208 1.7838 1.5634 1.5458 1.8720 1.0227
2.80 4.2932 1.9893 3.7718 3.3127 1.7994 1.6124 1.5812 1.8164 1.0088
2.90 4.4269 1.9727 3.8770 3.3982 1.8605 1.6389 1.6225 1.8113 1.0096
3.00 4.5492 2.0074 3.9699 3.4780 1.8858 1.6954 1.6689 1.8064 1.0209
3.10 4.6763 2.0144 4.0594 3.5526 1.9325 1.7328 1.7123 1.8224 1.0187
3.20 4.7979 2.0432 4.1433 3.6251 1.9861 1.7853 1.7580 1.8200 1.0191
3.30 4.9146 2.0846 4.2197 3.6884 2.0245 1.8346 1.7961 1.8394 1.0219
3.40 5.0198 2.0957 4.2917 3.7503 2.0887 1.8926 1.8320 1.8483 1.0315
3.50 5.1235 2.1514 4.3617 3.8086 2.1333 1.9474 1.8680 1.8544 1.0383
3.60 5.2192 2.1776 4.4279 3.8637 2.1996 2.0035 1.9043 1.8646 1.0491
3.70 5.3097 2.2217 4.4905 3.9137 2.2517 2.0544 1.9343 1.8743 1.0529
